[0m[ INFO] [1580824675.706242476]: 0 | 0.000000,0.000000,0.200000 | 0.030000,0.000000,0.380000 | 0.030000,0.000000,0.720000 | 0.150000,0.000000,0.755000 | 0.375000,0.000000,0.755000 | 0.465000,0.000000,0.755000[0m
[0m[ INFO] [1580824695.707157178]: 1 | 0.000000,-0.000000,0.200000 | 0.029893,-0.002529,0.380000 | -0.307607,0.026029,0.350368 | -0.366789,0.031037,0.240380 | -0.524292,0.044365,0.080254 | -0.590606,0.066065,0.023407[0m
[0m[ INFO] [1580824715.707298231]: 2 | -0.000000,-0.000000,0.200000 | 0.007714,0.028991,0.380000 | -0.079378,-0.298326,0.350368 | -0.075461,-0.283604,0.226300 | -0.084770,-0.318592,0.004232 | -0.107381,-0.366231,0.077165[0m
[0m[ INFO] [1580824735.707424178]: 3 | 0.000000,0.000000,0.200000 | 0.020616,0.021794,0.380000 | -0.212141,-0.224267,0.350368 | -0.210316,-0.222337,0.225396 | -0.250445,-0.264759,0.008106 | -0.259093,-0.192876,0.061567[0m
[0m[ INFO] [1580824755.707582053]: 4 | 0.000000,0.000000,0.200000 | 0.025149,0.016356,0.380000 | -0.258788,-0.168310,0.350368 | -0.185029,-0.120339,0.439157 | -0.020061,-0.013047,0.548238 | -0.035916,-0.098551,0.525052[0m
[0m[ INFO] [1580824775.707716618]: 5 | -0.000000,0.000000,0.200000 | 0.019489,-0.022808,0.380000 | -0.200541,0.234697,0.350368 | -0.143384,0.167805,0.439157 | -0.015546,0.018193,0.548238 | -0.021215,0.108003,0.546794[0m
[0m[ INFO] [1580824795.707870577]: 6 | 0.000000,0.000000,0.200000 | 0.013687,0.026696,0.380000 | -0.140845,-0.274704,0.350368 | -0.134031,-0.261415,0.226263 | -0.150795,-0.294112,0.004284 | -0.085909,-0.305611,0.065583[0m
[0m[ INFO] [1580824815.708018414]: 7 | -0.000000,-0.000000,0.200000 | 0.029822,-0.003264,0.380000 | 0.119298,-0.013057,0.707869 | 0.171632,-0.018786,0.594497 | 0.205266,-0.022467,0.372055 | 0.279387,0.008856,0.412366[0m
[0m[ INFO] [1580824835.708148050]: 8 | -0.000000,-0.000000,0.200000 | 0.019190,-0.023059,0.380000 | 0.199775,-0.240052,0.569482 | 0.177909,-0.213778,0.449247 | 0.101360,-0.121796,0.258708 | 0.066651,-0.175946,0.321662[0m
[0m[ INFO] [1580824855.708388282]: 9 | 0.000000,0.000000,0.200000 | 0.029874,-0.002752,0.380000 | -0.305885,0.028175,0.423698 | -0.201347,0.018546,0.491550 | 0.013349,-0.001230,0.555890 | 0.033281,-0.088622,0.563964[0m
